filename,x,y,source_x,source_y
mirror_Vertical_velocity_11_Source_x_1.2_Source_y_-0.75.txt,1.200,-0.825,1.200,-0.750
mirror_Vertical_velocity_11_Source_x_1.27_Source_y_-0.825.txt,1.200,-0.825,1.275,-0.825
mirror_Vertical_velocity_11_Source_x_1.12_Source_y_0.825.txt,1.200,0.825,1.125,0.825
mirror_Vertical_velocity_11_Source_x_1.2_Source_y_0.75.txt,1.200,0.825,1.200,0.750
mirror_Vertical_velocity_11_Source_x_1.2_Source_y_0.9.txt,1.200,0.825,1.200,0.900
mirror_Vertical_velocity_11_Source_x_1.27_Source_y_0.825.txt,1.200,0.825,1.275,0.825
mirror_Vertical_velocity_12_Source_x_-1.12_Source_y_-0.825.txt,-1.050,-0.825,-1.125,-0.825
mirror_Vertical_velocity_12_Source_x_-1.05_Source_y_-0.9.txt,-1.050,-0.825,-1.050,-0.900
mirror_Vertical_velocity_12_Source_x_-1.05_Source_y_-0.75.txt,-1.050,-0.825,-1.050,-0.750
mirror_Vertical_velocity_12_Source_x_-0.975_Source_y_-0.825.txt,-1.050,-0.825,-0.975,-0.825
Vertical_velocity_12_Source_x_-1.125_Source_y_0.825.txt,-1.050,0.825,-1.125,0.825
Vertical_velocity_12_Source_x_-1.05_Source_y_0.75.txt,-1.050,0.825,-1.050,0.750
Vertical_velocity_12_Source_x_-1.05_Source_y_0.9.txt,-1.050,0.825,-1.050,0.900
Vertical_velocity_12_Source_x_-0.975_Source_y_0.825.txt,-1.050,0.825,-0.975,0.825
mirror_Vertical_velocity_12_Source_x_0.975_Source_y_-0.825.txt,1.050,-0.825,0.975,-0.825
mirror_Vertical_velocity_12_Source_x_1.05_Source_y_-0.9.txt,1.050,-0.825,1.050,-0.900
mirror_Vertical_velocity_12_Source_x_1.05_Source_y_-0.75.txt,1.050,-0.825,1.050,-0.750
mirror_Vertical_velocity_12_Source_x_1.12_Source_y_-0.825.txt,1.050,-0.825,1.125,-0.825
mirror_Vertical_velocity_12_Source_x_0.975_Source_y_0.825.txt,1.050,0.825,0.975,0.825
mirror_Vertical_velocity_12_Source_x_1.05_Source_y_0.75.txt,1.050,0.825,1.050,0.750
mirror_Vertical_velocity_12_Source_x_1.05_Source_y_0.9.txt,1.050,0.825,1.050,0.900
mirror_Vertical_velocity_12_Source_x_1.12_Source_y_0.825.txt,1.050,0.825,1.125,0.825
mirror_Vertical_velocity_13_Source_x_-0.975_Source_y_-0.825.txt,-0.900,-0.825,-0.975,-0.825
mirror_Vertical_velocity_13_Source_x_-0.9_Source_y_-0.9.txt,-0.900,-0.825,-0.900,-0.900
mirror_Vertical_velocity_13_Source_x_-0.9_Source_y_-0.75.txt,-0.900,-0.825,-0.900,-0.750
mirror_Vertical_velocity_13_Source_x_-0.825_Source_y_-0.825.txt,-0.900,-0.825,-0.825,-0.825
Vertical_velocity_13_Source_x_-0.975_Source_y_0.825.txt,-0.900,0.825,-0.975,0.825
Vertical_velocity_13_Source_x_-0.9_Source_y_0.75.txt,-0.900,0.825,-0.900,0.750
Vertical_velocity_13_Source_x_-0.9_Source_y_0.9.txt,-0.900,0.825,-0.900,0.900
Vertical_velocity_13_Source_x_-0.825_Source_y_0.825.txt,-0.900,0.825,-0.825,0.825
mirror_Vertical_velocity_13_Source_x_0.825_Source_y_-0.825.txt,0.900,-0.825,0.825,-0.825
mirror_Vertical_velocity_13_Source_x_0.9_Source_y_-0.9.txt,0.900,-0.825,0.900,-0.900
mirror_Vertical_velocity_13_Source_x_0.9_Source_y_-0.75.txt,0.900,-0.825,0.900,-0.750
mirror_Vertical_velocity_13_Source_x_0.975_Source_y_-0.825.txt,0.900,-0.825,0.975,-0.825
mirror_Vertical_velocity_13_Source_x_0.825_Source_y_0.825.txt,0.900,0.825,0.825,0.825
mirror_Vertical_velocity_13_Source_x_0.9_Source_y_0.75.txt,0.900,0.825,0.900,0.750
mirror_Vertical_velocity_13_Source_x_0.9_Source_y_0.9.txt,0.900,0.825,0.900,0.900
mirror_Vertical_velocity_13_Source_x_0.975_Source_y_0.825.txt,0.900,0.825,0.975,0.825
mirror_Vertical_velocity_14_Source_x_-0.825_Source_y_-0.825.txt,-0.750,-0.825,-0.825,-0.825
mirror_Vertical_velocity_14_Source_x_-0.75_Source_y_-0.9.txt,-0.750,-0.825,-0.750,-0.900
mirror_Vertical_velocity_14_Source_x_-0.75_Source_y_-0.75.txt,-0.750,-0.825,-0.750,-0.750
mirror_Vertical_velocity_14_Source_x_-0.675_Source_y_-0.825.txt,-0.750,-0.825,-0.675,-0.825
Vertical_velocity_14_Source_x_-0.825_Source_y_0.825.txt,-0.750,0.825,-0.825,0.825
Vertical_velocity_14_Source_x_-0.75_Source_y_0.75.txt,-0.750,0.825,-0.750,0.750
Vertical_velocity_14_Source_x_-0.75_Source_y_0.9.txt,-0.750,0.825,-0.750,0.900
Vertical_velocity_14_Source_x_-0.675_Source_y_0.825.txt,-0.750,0.825,-0.675,0.825
mirror_Vertical_velocity_14_Source_x_0.675_Source_y_-0.825.txt,0.750,-0.825,0.675,-0.825
mirror_Vertical_velocity_14_Source_x_0.75_Source_y_-0.9.txt,0.750,-0.825,0.750,-0.900
mirror_Vertical_velocity_14_Source_x_0.75_Source_y_-0.75.txt,0.750,-0.825,0.750,-0.750
mirror_Vertical_velocity_14_Source_x_0.825_Source_y_-0.825.txt,0.750,-0.825,0.825,-0.825
mirror_Vertical_velocity_14_Source_x_0.675_Source_y_0.825.txt,0.750,0.825,0.675,0.825
mirror_Vertical_velocity_14_Source_x_0.75_Source_y_0.75.txt,0.750,0.825,0.750,0.750
mirror_Vertical_velocity_14_Source_x_0.75_Source_y_0.9.txt,0.750,0.825,0.750,0.900
mirror_Vertical_velocity_14_Source_x_0.825_Source_y_0.825.txt,0.750,0.825,0.825,0.825
mirror_Vertical_velocity_15_Source_x_-0.675_Source_y_-0.825.txt,-0.600,-0.825,-0.675,-0.825
mirror_Vertical_velocity_15_Source_x_-0.6_Source_y_-0.9.txt,-0.600,-0.825,-0.600,-0.900
mirror_Vertical_velocity_15_Source_x_-0.6_Source_y_-0.75.txt,-0.600,-0.825,-0.600,-0.750
mirror_Vertical_velocity_15_Source_x_-0.525_Source_y_-0.825.txt,-0.600,-0.825,-0.525,-0.825
Vertical_velocity_15_Source_x_-0.675_Source_y_0.825.txt,-0.600,0.825,-0.675,0.825
Vertical_velocity_15_Source_x_-0.6_Source_y_0.75.txt,-0.600,0.825,-0.600,0.750
Vertical_velocity_15_Source_x_-0.6_Source_y_0.9.txt,-0.600,0.825,-0.600,0.900
Vertical_velocity_15_Source_x_-0.525_Source_y_0.825.txt,-0.600,0.825,-0.525,0.825
mirror_Vertical_velocity_15_Source_x_0.525_Source_y_-0.825.txt,0.600,-0.825,0.525,-0.825
mirror_Vertical_velocity_15_Source_x_0.6_Source_y_-0.9.txt,0.600,-0.825,0.600,-0.900
mirror_Vertical_velocity_15_Source_x_0.6_Source_y_-0.75.txt,0.600,-0.825,0.600,-0.750
mirror_Vertical_velocity_15_Source_x_0.675_Source_y_-0.825.txt,0.600,-0.825,0.675,-0.825
mirror_Vertical_velocity_15_Source_x_0.525_Source_y_0.825.txt,0.600,0.825,0.525,0.825
mirror_Vertical_velocity_15_Source_x_0.6_Source_y_0.75.txt,0.600,0.825,0.600,0.750
mirror_Vertical_velocity_15_Source_x_0.6_Source_y_0.9.txt,0.600,0.825,0.600,0.900
mirror_Vertical_velocity_15_Source_x_0.675_Source_y_0.825.txt,0.600,0.825,0.675,0.825
mirror_Vertical_velocity_16_Source_x_-0.525_Source_y_-0.825.txt,-0.450,-0.825,-0.525,-0.825
mirror_Vertical_velocity_16_Source_x_-0.45_Source_y_-0.9.txt,-0.450,-0.825,-0.450,-0.900
mirror_Vertical_velocity_16_Source_x_-0.45_Source_y_-0.75.txt,-0.450,-0.825,-0.450,-0.750
mirror_Vertical_velocity_16_Source_x_-0.375_Source_y_-0.825.txt,-0.450,-0.825,-0.375,-0.825
Vertical_velocity_16_Source_x_-0.525_Source_y_0.825.txt,-0.450,0.825,-0.525,0.825
Vertical_velocity_16_Source_x_-0.45_Source_y_0.75.txt,-0.450,0.825,-0.450,0.750
Vertical_velocity_16_Source_x_-0.45_Source_y_0.9.txt,-0.450,0.825,-0.450,0.900
Vertical_velocity_16_Source_x_-0.375_Source_y_0.825.txt,-0.450,0.825,-0.375,0.825
mirror_Vertical_velocity_16_Source_x_0.375_Source_y_-0.825.txt,0.450,-0.825,0.375,-0.825
mirror_Vertical_velocity_16_Source_x_0.45_Source_y_-0.9.txt,0.450,-0.825,0.450,-0.900
mirror_Vertical_velocity_16_Source_x_0.45_Source_y_-0.75.txt,0.450,-0.825,0.450,-0.750
mirror_Vertical_velocity_16_Source_x_0.525_Source_y_-0.825.txt,0.450,-0.825,0.525,-0.825
mirror_Vertical_velocity_16_Source_x_0.375_Source_y_0.825.txt,0.450,0.825,0.375,0.825
mirror_Vertical_velocity_16_Source_x_0.45_Source_y_0.75.txt,0.450,0.825,0.450,0.750
mirror_Vertical_velocity_16_Source_x_0.45_Source_y_0.9.txt,0.450,0.825,0.450,0.900
mirror_Vertical_velocity_16_Source_x_0.525_Source_y_0.825.txt,0.450,0.825,0.525,0.825
